No,store,address,phone,address2,addr3,경도,위도,상태
11,역삼점,"서울시 강남구 논현로 512  지상1,2층  ",02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층","서울특별시 강남구 논현로 512 지상1,2층",127.036521295531,37.5023497311026,정좌표
12,양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,서울특별시 서초구 강남대로 213 24호 지하1층,127.035612103466,37.4823426363184,정좌표
13,청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,서울특별시 강남구 삼성로 716 LEE76빌딩2층,127.050032054961,37.5198984032308,정좌표
14,영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,서울특별시 서초구 반포동 736-17 P빌딩 2층,127.022799337832,37.5068422387096,정좌표
15,도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호","서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",127.051554393149,37.4873391776634,정좌표
16,영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794,"서울특별시 강남구 선릉로 749 1,2층","서울특별시 강남구 선릉로 749 1,2층",127.039475588842,37.5214576204062,정좌표
17,공항터미널앞점,서울시 강남구 테헤란로 87길 17 1층  ,02-539-5174,서울특별시 강남구 테헤란로 87길 17 1층,서울특별시 강남구 테헤란로 87길 17 1층,127.058342500333,37.5087428437294,정좌표
18,교대점,서울시 서초구 서초중앙로 118  1층  ,02-585-3981,서울특별시 서초구 서초중앙로 118 1층,서울특별시 서초구 서초중앙로 118 1층,127.014229855508,37.4923913712568,정좌표
19,대치한티점,서울시 강남구 선릉로 64길 23 1층  ,02-557-0510,서울특별시 강남구 선릉로 64길 23 1층,서울특별시 강남구 선릉로 64길 23 1층,127.054171517116,37.4982961074544,정좌표
20,압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호","서울특별시 강남구 도산대로49길 13 1층 17,18호",127.036960497339,37.5237417365894,정좌표
21,압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층  ,02-3445-5093,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,127.039012658388,37.5261147403725,정좌표
22,서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,127.030262676608,37.4912878654934,정좌표
23,논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,서울특별시 강남구 논현 231-13호 팍스타워지하1층,127.06235572781,37.4960708164601,인근좌표
24,삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층  ,02-3466-8507,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,127.059158839911,37.5118240312473,정좌표
25,트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-6002-6470,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,127.061023127488,37.5103560822663,정좌표
26,삼성봉은사거리점,"서울시 강남구 영동대로 607 12번지 1,2층  ",02-3443-5618,"서울특별시 강남구 영동대로 607 12번지 1,2층","서울특별시 강남구 영동대로 607 12번지 1,2층",127.059489346185,37.514551871354,정좌표
27,대치포스코뒷점,서울시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동  ,02-3453-8077,서울특별시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동,서울특별시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동,127.0563005564,37.5049786892454,정좌표
28,반포엘루체점,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호  ,02-3477-5571,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,126.987232168274,37.5017482910184,정좌표
29,잠실신천점,서울시 송파구 석촌호수로 118 1층  ,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,서울특별시 송파구 석촌호수로 118 1층,127.090021683082,37.5074374038961,정좌표
30,서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호  ",02-3477-5580,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호","서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",127.016441592039,37.495396193257,정좌표
31,논현동수면센터점,서울시 강남구 논현로 717 1층  ,02-3443-5575,서울특별시 강남구 논현로 717 1층,서울특별시 강남구 논현로 717 1층,127.029537315387,37.5159618224913,정좌표
32,삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층  ,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,서울특별시 서초구 서초대로74길 11 지하2층,127.026914524086,37.496633087961,정좌표
33,삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  ,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,127.025703343131,37.4967442363015,정좌표
34,방배카페골목점,서울특별시 서초구 방배중앙로 187  ,02-592-7794,서울특별시 서초구 방배중앙로 187,서울특별시 서초구 방배중앙로 187,126.985531307483,37.4957085615249,정좌표
35,역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  ,02-554-9962,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,127.034141642198,37.4990864652918,정좌표
36,테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층  ,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,서울특별시 강남구 테헤란로 70길 12 1층,127.053159458023,37.5047426810061,정좌표
37,방배역점,"서울시 서초구 효령로 117  3,4층  ",02-521-4562,"서울특별시 서초구 효령로 117 3,4층","서울특별시 서초구 효령로 117 3,4층",126.996939578205,37.4814621343152,정좌표
38,삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층  ,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,127.064166929147,37.5146728799944,정좌표
39,방이점,서울시 송파구 오금로 11길 7  ,02-415-5561,서울특별시 송파구 오금로 11길 7,서울특별시 송파구 오금로 11길 7,127.107967496018,37.5145559714117,정좌표
40,매봉역점,서울시 강남구 논현로 38길 42 418호  ,02-529-9947,서울특별시 강남구 논현로 38길 42 418호,서울특별시 강남구 논현로 38길 42 418호,127.045053218148,37.4855746946515,정좌표
41,남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층  ,02-523-3671,서울특별시 서초구 서초중앙로 43 로얄타워1층,서울특별시 서초구 서초중앙로 43 로얄타워1층,127.015577144311,37.4855386360699,정좌표
42,강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층  ,02-563-3655,서울특별시 강남구 테헤란로4길 28 826-28호 1층,서울특별시 강남구 테헤란로4길 28 826-28호 1층,127.030094133482,37.4965229231532,정좌표
43,도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층  ,02-2016-5330,서울특별시 강남구 테헤란로87길 36 공항타워 1층,서울특별시 강남구 테헤란로87길 36 공항타워 1층,127.058597497443,37.5102343730098,정좌표
44,청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층  ",02-514-5622,"서울특별시 강남구 도산대로 67길 7,파크빌딩 1층","서울특별시 강남구 도산대로 67길 7,파크빌딩 1층",127.044386967268,37.5244882785778,정좌표
45,동부이촌동점,서울시 용산구 이촌로 303 현대아파트상가11동102호  ,02-792-3677,서울특별시 용산구 이촌로 303 현대아파트상가11동102호,서울특별시 용산구 이촌로 303 현대아파트상가11동102호,126.97951342344,37.5183523827614,정좌표
46,광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층  ,02-3210-2326,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,126.978835655828,37.5697756151341,정좌표
47,대학로점,서울시 종로구 대학로 10길 5 1-60호  ,02-762-3146,서울특별시 종로구 대학로 10길 5 1-60호,서울특별시 종로구 대학로 10길 5 1-60호,127.002580315443,37.5818617664211,정좌표
48,경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외  ,02-730-8896,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,126.972244210421,37.5725476713753,정좌표
49,홍대역점,서울시 마포구 홍익로 6길 26  ,02-333-4278,서울특별시 마포구 홍익로 6길 26,서울특별시 마포구 홍익로 6길 26,126.923264448377,37.5554689775625,정좌표
50,순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층  ,02-2220-8198,서울특별시 중구 순화202 1-94 프레이저플레이스레지던스1층,서울특별시 중구 순화202 1-94 프레이저플레이스레지던스1층,126.992983330103,37.5578666138225,인근좌표
51,종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층  ",02-738-5333,"서울특별시 종로구 청계천로 83 11-4호 지하1,지상1~3층","서울특별시 종로구 청계천로 83 11-4호 지하1,지상1~3층",126.986732560751,37.5684833866888,정좌표
52,소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층  ,02-753-8004,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,126.981162933563,37.5641652037186,정좌표
53,강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호  ,02-3424-5480,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,127.095691814388,37.5357246009999,정좌표
54,외대앞점,서울시 동대문구 이문로 106 1~3층  ,02-959-7750,서울특별시 동대문구 이문로 106 1~3층,서울특별시 동대문구 이문로 106 1~3층,127.06021707657,37.5960671177123,정좌표
55,고대안암역점,서울시 성북구 개운사길8 101-3 1층  ,02-953-6652,서울특별시 성북구 개운사길8 101-3 1층,서울특별시 성북구 개운사길8 101-3 1층,127.029573440743,37.5869873360998,정좌표
56,순화동라마다호텔점,서울시 중구 칠패로 27 151호  ,02-3789-3347,서울특별시 중구 칠패로 27 151호,서울특별시 중구 칠패로 27 151호,126.972035748719,37.5602669735527,정좌표
57,왕십리민자역사점,서울시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층  ,02-2200-6120,서울특별시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,서울특별시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,127.038394538982,37.5614419137754,정좌표
58,신촌역앞점,"서울시 서대문구 신촌역로 20  27-27,16,65,61호  ",02-312-5568,"서울특별시 서대문구 신촌역로 20 27-27,16,65,61호","서울특별시 서대문구 신촌역로 20 27-27,16,65,61호",126.943140013693,37.5583800192927,정좌표
59,세종문화회관옆점,서울 종로구 새문안로 9길 25 1층  ,02-720-5561,서울특별시 종로구 새문안로 9길 25 1층,서울특별시 종로구 새문안로 9길 25 1층,126.975481453415,37.5713508707712,정좌표
60,신촌점,서울시 서대문구 창천 18-26호 B1  ,02-363-5572,서울특별시 서대문구 창천 18-26호 B1,서울특별시 서대문구 창천 18-26호 B1,126.93309203041,37.5828087702387,인근좌표
61,건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층  ,02-444-9861,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,127.071111872461,37.5387794377982,정좌표
62,하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층  ",02-733-5108,"서울특별시 종로구 사직로 130,1 현대적선빌딩1층","서울특별시 종로구 사직로 130,1 현대적선빌딩1층",126.97306310829,37.5758614305055,정좌표
63,중계동은행사거리점,서울시 노원구 한글비석로 263 1층  ,02-931-3055,서울특별시 노원구 한글비석로 263 1층,서울특별시 노원구 한글비석로 263 1층,127.076470736359,37.6512097887751,정좌표
64,서울스퀘어점,서울시 중구 한강대로 416 지하1층  ,02-6456-8907,서울특별시 중구 한강대로 416 지하1층,서울특별시 중구 한강대로 416 지하1층,126.973751345556,37.5555042489618,정좌표
65,목동점,서울시 양천구 목동동로 293 현대41타워1층  ,02-2654-5981,서울특별시 양천구 목동동로 293 현대41타워1층,서울특별시 양천구 목동동로 293 현대41타워1층,126.875771750531,37.5281780301864,정좌표
66,여의도34번지점,서울 영등포구 국제금융로 52 심팩빌딩 1층  ,02-783-2043,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,126.929505974683,37.5227285022854,정좌표
67,여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층  ,02-783-6058,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,126.924586233201,37.5225165232988,정좌표
68,시흥홈플러스점,서울시 금천구 시흥대로 201 1층  ,02-803-9994,서울특별시 금천구 시흥대로 201 1층,서울특별시 금천구 시흥대로 201 1층,126.900794779167,37.4519042630777,정좌표
69,여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층  ,02-780-7758,서울특별시 영등포구 여의서로 43 한서리버파크2층,서울특별시 영등포구 여의서로 43 한서리버파크2층,126.924842879708,37.5307290789004,정좌표
70,부산광복동점,부산광역시 중구 창선동 2가 8-2  ,051-243-9105,부산광역시 중구 창선동 2가 8-2,부산광역시 중구 창선동 2가 8-2,129.029010934498,35.0994728757799,정좌표
71,인천구월동점,"인천광역시 남동구 예술로 138 지상1,2층  ",032-421-3418,"인천광역시 남동구 예술로 138 지상1,2층","인천광역시 남동구 예술로 138 지상1,2층",126.701006330338,37.4462416075454,정좌표
72,대전탄방동점,대전시 서구 문정로76 1층  ,042-471-9805,대전시 서구 문정로76 1층,대전시 서구 문정로76 1층,127.387695912515,36.3464182724971,정좌표
73,일산라페스타점,경기도 고양시 일산동구 장항동 764 라페스타C동  ,031-907-2326,경기도 고양시 일산동구 장항동 764 라페스타C동,경기도 고양시 일산동구 장항동 764 라페스타C동,126.768558748093,37.6615546739523,정좌표
74,일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호  ,031-931-5573,경기도 고양시 일산동구 정발산로 24 I동103~203호,경기도 고양시 일산동구 정발산로 24 I동103~203호,126.772656200665,37.6548247788486,정좌표
75,분당서현점,"경기도 성남시 분당구 분당로53번길 11 1층2,3호  ",031-705-8926,"경기도 성남시 분당구 분당로53번길 11 1층2,3호","경기도 성남시 분당구 분당로53번길 11 1층2,3호",127.121552811583,37.3840673217881,정좌표
76,분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층  ,031-705-3188,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,127.121865882334,37.3851307788035,정좌표
77,분당차병원점,경기도 성남시 분당구 야탑동354 분당차병원신관1층분당차1호  ,031-781-0471,경기도 성남시 분당구 야탑동354 분당차병원신관1층분당차1호,경기도 성남시 분당구 야탑동354 분당차병원신관1층분당차1호,127.126328106625,37.411165534448,인근좌표
78,분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층  ,031-713-9937,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,127.112312191564,37.3781321825712,정좌표
79,동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호  ,031-8003-8374,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,127.074679439672,37.2058415033267,정좌표
80,일산킨텍스현대백화점점,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F  ,031-822-3575,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F,126.751474109321,37.6679086334302,정좌표
81,창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호  ,055-211-0737,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,128.680811197456,35.2234918621337,정좌표
82,청주점,충북 청주시 상당구 상당로69번길20 2~4층  ,043-221-2373,충청북도 청주시 상당구 상당로69번길20 2~4층,충청북도 청주시 상당구 상당로69번길20 2~4층,127.489300905443,36.634536688594,정좌표
83,고대세종캠퍼스점,세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층  ,044-862-5144,세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층,세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층,127.288212082293,36.611524157938,정좌표
84,청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호  ",043-238-3151,"충청북도 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호","충청북도 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",127.424201730108,36.6445005678907,정좌표
85,무교CBTL점,서울 중구 세종대로 136 파이낸스빌딩  ,070-4140-7003,서울특별시 중구 세종대로 136 파이낸스빌딩,서울특별시 중구 세종대로 136 파이낸스빌딩,126.978256472265,37.5684236973432,정좌표
86,국기원사거리점,서울시 강남구 테헤란로 8길 42 1층  ,02-552-7106 ,서울특별시 강남구 테헤란로 8길 42 1층,서울특별시 강남구 테헤란로 8길 42 1층,127.032175146857,37.4961582901781,정좌표
87,무교점,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4  ",02-753-2374,"서울특별시 중구 태평로1 84호 SFC빌딩B1,1-4","서울특별시 중구 태평로1 84호 SFC빌딩B1,1-4",127.391330577636,36.3171722142814,정좌표
88,남대문점,서울시 중구 후암로110 581호 서울시티타워1층  ,02-777-4217,서울특별시 중구 후암로110 581호 서울시티타워1층,서울특별시 중구 후암로110 581호 서울시티타워1층,126.974048489678,37.554303444618,정좌표
89,올림픽플라자,서울시 송파구 양재대로 1222 올림픽선수A 1층212~3호  ,02-402-3571,서울특별시 송파구 양재대로 1222 올림픽선수A 1층212~3호,서울특별시 송파구 양재대로 1222 올림픽선수A 1층212~3호,127.132262982668,37.515680769801,정좌표
90,대학로마로니에점,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층  ",02-742-3318,"서울특별시 종로구 대학로 12길 62 지하1층,지상1,2층","서울특별시 종로구 대학로 12길 62 지하1층,지상1,2층",127.003704637195,37.5813989710336,정좌표
91,여의도역점,서울시 영등포구 의사당대로 108 아일렉스상가 1층 101호  ,02-784-5531,서울특별시 영등포구 의사당대로 108 아일렉스상가 1층 101호,서울특별시 영등포구 의사당대로 108 아일렉스상가 1층 101호,126.923992331027,37.521015041316,정좌표
92,인사점,서울시 종로구 낙원동 272 오라카이스위츠 1층  ,02-6262-8100,서울특별시 종로구 낙원동 272 오라카이스위츠 1층,서울특별시 종로구 낙원동 272 오라카이스위츠 1층,126.987308906976,37.5729974088411,정좌표
93,테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층  ,02-558-7101,서울특별시 강남구 테헤란로 312 707-2번지1층,서울특별시 강남구 테헤란로 312 707-2번지1층,127.045043361511,37.5029337708928,정좌표
94,서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층  ",02-882-3101,"서울특별시 관악구 관악로 161 층일부 2,3층","서울특별시 관악구 관악로 161 층일부 2,3층",126.95218448711,37.4796080235533,정좌표
95,코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드  ,02-569-3103,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,127.057114084867,37.5129441608802,정좌표
96,수유역점,서울시 강북구 도봉로 352 효성네오인텔리안 101호  ,02-906-5571,서울특별시 강북구 도봉로 352 효성네오인텔리안 101호,서울특별시 강북구 도봉로 352 효성네오인텔리안 101호,127.027033267902,37.638675879641,정좌표
97,뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층  ,02-545-3181,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,127.027426622336,37.524420550517,정좌표
98,디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층  ,02-2210-9484,서울특별시 구로구 경인로 662 디큐브시티 4층,서울특별시 구로구 경인로 662 디큐브시티 4층,126.888213650352,37.5081239144968,정좌표
99,삼청동점,서울시 종로구 삼청로 109  ,02-730-5177,서울특별시 종로구 삼청로 109,서울특별시 종로구 삼청로 109,126.981774882318,37.5851342741129,정좌표
100,충무로극동빌딩점,서울시 중구 퇴계로 173 남산스퀘어 1층  ,02-2273-3181,서울특별시 중구 퇴계로 173 남산스퀘어 1층,서울특별시 중구 퇴계로 173 남산스퀘어 1층,126.99105893207,37.5618264672695,정좌표
